attach,http://node03.iotatoken.nl:14265 score: 6.648855928600701 scoreNorm: 0.06505332832599411
-97417,0
-96671,1
-100978,2
-99428,3
-100920,4
-103074,5
-99983,6
-102289,7
-102119,8
-99901,9
-103935,10
-103337,11
-95173,12
-101252,13
-98599,14
-101014,15
-99556,16
-103610,17
-97331,18
-99712,19
-95236,20
-99991,21
-103060,22
-93467,23
-103846,24
-104043,25
-103922,26
-101347,27
-95864,28
-101155,29
-97421,30
-98181,31
-93019,32
-100376,33
-101834,34
-101538,35
-99797,36
-100372,37
-101702,38
-99093,39
-99252,40
-102548,41
-101137,42
-98468,43
-97518,44
