attach,http://185.244.194.231:14265 score: 10.142537634819746 scoreNorm: 0.07752046712442182
93424,0
92599,1
165015,2
121570,4
241343,3
204923,5
218077,6
183555,8
286999,9
556928,7
453447,10
408917,11
365261,12
385315,13
395882,14
403512,15
454443,16
410848,17
485246,18
421153,19
510530,20
507457,21
603202,22
542191,23
534598,24
504292,25
515533,26
546593,27
591250,28
512880,29
611705,30
694752,31
834145,32
887559,33
918259,34
915430,35
966703,36
1074784,37
989944,38
987931,39
966095,40
954815,41
977280,42
