attach,https://wallet1.iota.town:443 score: 122.0913157939911 scoreNorm: 0.9636238718127635
50247,0
29706,1
13282,2
10547,3
13176,4
12031,5
42967,6
192575,7
215110,8
197212,9
176677,10
173803,11
150660,12
196699,13
260897,14
204443,15
194459,16
167426,17
179918,18
140092,19
141202,20
91820,21
121839,22
102217,23
24885,25
92220,24
29134,26
116023,27
105905,28
63794,30
297477,29
241110,31
270761,32
284268,33
259461,34
242580,35
212655,36
178356,37
170802,38
168039,39
120224,40
151035,41
167929,42
143853,43
149392,44
