attach,http://207.180.224.65:14265 score: 54.650581765919924 scoreNorm: 0.4639502659491242
13485,0
33239,1
6922,2
11449,3
12148,4
34597,5
64850,6
114458,7
93853,8
123442,9
158796,10
149094,11
174760,12
224274,13
261280,14
236092,15
307959,16
413704,17
366047,18
365995,19
369021,20
424193,21
513471,22
565203,23
627022,24
638330,25
667917,26
819063,27
881864,28
885276,29
944517,30
948925,31
1087756,32
1107861,33
1219343,34
1321036,35
1313571,36
1457962,37
1585153,38
1587234,39
1730155,40
1735579,41
-1,42
-1,43
-1,44
