attach,https://node-iota.org:14267 score: 81.56177446246147 scoreNorm: 0.7007054335109004
40687,0
101162,1
143495,2
164663,3
161654,4
157868,5
276707,6
-1,7
356342,8
340446,9
421751,10
315181,11
294034,12
267880,13
222899,14
224435,15
235343,16
186121,17
179518,18
153416,19
164908,20
184378,21
173543,22
161168,23
151937,24
201902,25
184497,26
166759,27
270262,28
286600,29
272017,30
275112,31
264483,32
265379,33
263961,34
244534,35
9672,36
32825,37
18698,38
6529,39
15528,40
46646,41
4444,42
64558,43
