attach,http://mandelhost.de:14265 score: 94.23080543518066 scoreNorm: 0.8095463568283296
40729,0
34502,1
23410,2
45283,3
19087,4
28231,5
39624,6
30095,7
25931,8
56872,9
126920,10
91523,11
98602,13
261007,12
331712,14
412903,15
434913,16
478246,17
590537,18
592156,19
668691,20
652177,21
695660,22
688101,23
715378,24
689990,25
772060,26
870822,27
869835,28
861532,29
909173,30
901362,31
934007,32
953579,33
1053169,34
1005824,35
1127478,36
1125087,37
1148376,38
1205310,39
1328892,40
1371394,41
1480941,42
1454635,43
1460483,44
