attach,https://hanspetzersnode.org:14267 score: 86.81349884346128 scoreNorm: 0.351936784129714
29195,0
22051,1
7100,2
29760,4
61421,3
19485,5
19407,6
39024,7
101148,8
89239,9
70835,10
16824,11
29013,12
34115,13
49011,14
61689,15
81191,16
61075,17
89363,18
121645,19
137854,20
144228,21
178961,22
224199,23
277303,24
278896,25
284426,26
338376,27
273855,28
226200,30
-1,37
-1,34
450917,29
229934,33
506795,31
318117,35
518709,32
321202,36
229619,38
195145,39
145405,40
263961,41
257418,42
305476,43
242592,44
