attach,http://213.136.79.161:14265 score: 13.052331547633264 scoreNorm: 0.10353961689326105
206184,0
240861,2
311867,4
514427,1
353862,5
633072,3
697768,6
653621,8
665393,7
630617,10
978311,11
945366,12
1039134,13
1115437,14
1114379,15
1080164,16
1070806,17
1071473,18
1039245,19
1029529,20
1687924,9
1027640,21
978152,22
1023813,23
1053536,24
1033965,25
1064582,26
1022893,27
1011690,28
1056286,29
1021450,30
1014360,31
1045758,32
1040031,33
1123544,34
1149426,35
1271408,36
1230210,37
1259579,38
1338055,39
1297379,40
1321824,41
1253094,42
1329846,43
1440295,44
