attach,http://me2byme2.com:14265 score: 4.76427912466117 scoreNorm: 0.04955936213273997
49156,0
31610,1
77528,2
27675,3
26814,4
332214,6
351884,7
619751,8
852829,5
627550,9
688481,10
661005,11
700923,12
724104,13
848426,14
838099,15
767657,16
751882,17
958424,18
1138227,19
1193602,22
1134178,20
1201923,21
1213918,23
1193194,25
1205479,26
1214581,27
1218302,28
1250644,29
1245273,30
1221946,31
1334644,32
1500269,33
1453586,34
1477055,35
1444937,36
1421293,37
1439798,38
1454861,39
1436638,40
1426938,41
1376724,42
1439725,43
2701021,24
1546523,44
