attach,http://node03.iotatoken.nl:14265 score: 4.57735931974818 scoreNorm: 0.042084566175794744
-102481,0
-101426,1
-94368,2
-90900,3
-104075,4
-99186,5
-98587,6
-95455,7
-103556,8
-101278,9
-98865,10
-94550,11
-102230,12
-100491,13
-99495,14
-102076,15
-93607,16
-102815,17
-99868,18
-102977,19
-102943,20
-97727,21
-101416,22
-101811,23
-99703,24
-96141,25
-100237,26
-98576,27
-100230,28
-102049,29
-102300,30
-91299,31
-104305,32
-101877,33
-100789,34
-85619,35
-103716,36
-100490,37
-103489,38
-93530,39
-101973,40
-99968,41
-103957,42
-101744,43
-102429,44
