attach,https://wallet1.iota.town:443 score: 52.51980271339417 scoreNorm: 0.44765547810026707
61295,0
156021,1
157226,2
153089,3
125412,5
273161,4
105607,6
91834,7
64371,8
63953,9
53501,10
36277,11
9381,12
9631,13
5621,14
13922,15
99550,16
67314,17
68858,18
94350,19
67234,20
52974,21
135577,23
149550,24
284890,22
168165,25
171122,26
160238,27
128021,28
174244,29
196778,30
218307,31
187090,32
152577,33
130734,34
110568,35
109152,36
73474,37
107729,38
124547,39
56956,41
176949,40
169664,42
160526,43
171740,44
