attach,http://mandelhost.de:14265 score: 99.7308136367798 scoreNorm: 0.7376204538765289
209866,0
77622,1
233769,2
247314,3
309602,4
345643,5
353792,6
356486,7
415612,8
469045,9
476096,10
390800,12
410319,13
348353,14
340351,15
310943,16
290498,17
660737,11
270672,18
282948,19
300282,20
264789,21
214609,22
166545,23
177460,24
201919,25
13866,26
43798,27
5580,28
35993,29
18690,30
20134,31
72052,32
47658,33
10511,34
44082,35
11125,36
21286,37
106131,38
131219,39
189784,40
221010,41
99626,43
34605,44
170093,42
