attach,http://mandelhost.de:14265 score: 93.87238030867142 scoreNorm: 0.8425962939702273
675709,0
739503,1
758490,2
818068,3
845101,4
937556,5
970382,6
1042971,7
1072748,8
1090354,9
1082100,10
997940,11
1007194,12
1014924,13
1184530,14
1191230,15
1201204,16
1282446,17
1305602,18
1387552,19
1510066,20
1553628,21
1567754,22
1719329,23
1718166,24
1744162,25
1796559,27
1756090,28
1660482,29
1617589,30
1604089,31
1579957,32
1543724,33
1551601,34
1557293,35
1060364,36
1108385,37
1057784,38
993936,39
1038310,40
1026580,41
1005371,42
965832,43
2611533,26
