attach,http://5.189.141.225:14265 score: 85.45184028625488 scoreNorm: 0.6234263900349114
673840,0
687766,1
823452,2
729562,3
731278,4
731844,5
752000,6
791026,7
787820,8
793847,9
931081,10
984833,11
1111767,12
1134095,13
296356,28
1203920,14
1226438,15
1245528,16
1308228,17
1343049,18
1370491,19
1520040,20
1565446,22
1553088,21
1653900,25
1598541,24
1513809,23
1734342,26
1767058,27
1775364,29
1770079,30
1655388,32
1638118,33
1646021,34
1676366,35
1617996,36
1599949,37
1652684,38
1661616,39
1693901,40
1812707,41
1872594,44
2793287,31
2081081,43
2170410,42
