attach,http://207.180.252.59:14265 score: 60.47305426961437 scoreNorm: 0.2840452713222911
3093,46701,0
1570,15028,1
946,3131,2
225,2301,3
802,15891,4
693,10405,5
498,14690,6
1429,45868,7
858,15009,8
1192,46900,9
40511,10660,10
3296,19963,11
736,18832,12
680,18489,13
6525,20415,14
1042,31795,15
795,8037,16
642,5793,17
26864,11614,18
548,20413,19
16617,4507,20
12086,8478,21
722,8657,22
10020,20987,23
1388,2520,24
874,5831,25
21095,13351,26
819,11936,27
15178,7591,28
1643,21207,29
5628,8153,30
3007,29051,31
1167,5386,32
1099,15761,33
884,9288,34
53386,29498,35
15758,56981,36
1635,20140,37
16512,7370,38
1132,11358,39
1575,4756,40
983,10779,41
24390,44885,42
1488,6344,43
1387,17081,44
