attach,https://iotanode.world:14267 score: 62.634641122681366 scoreNorm: 0.3286323369832939
20772,29770,0
4404,35617,1
40869,22867,2
27408,23435,3
1151,24529,4
7345,18833,5
5879,25959,6
1477,11710,7
46613,72426,8
40107,45201,9
6641,169173,10
33125,234544,11
74354,216288,12
-1,-1,13
-1,-1,15
-1,-1,14
-1,-1,18
-1,-1,19
-1,-1,17
184879,289042,16
-1,-1,21
-1,-1,22
184378,289845,20
-1,-1,23
205424,169853,24
142033,230862,25
340220,58467,26
279470,93208,27
-1,-1,29
-1,-1,28
-1,-1,32
231751,182096,30
135458,265829,31
-1,-1,36
-1,-1,35
295326,135519,33
-1,-1,34
-1,-1,39
-1,-1,38
-1,-1,40
219608,256757,37
-1,-1,43
-1,-1,44
189217,326209,41
-1,-1,42
