attach,https://wallet1.iota.town:443 score: 59.31504163742065 scoreNorm: 0.2531814445333572
921,13529,0
926,9236,1
528,956,2
578,4814,3
658,3606,4
8644,21996,5
14630,14807,6
54953,13758,7
16647,9383,8
1240,16520,9
976,23813,10
763,8493,11
706,5526,12
543,5019,13
11991,14508,14
726,15777,15
2789,15217,16
5101,7104,17
862,8809,18
646,22660,19
738,21167,20
1173,11850,21
2280,7508,22
648,3991,23
54915,7406,24
9222,6970,25
30996,62107,26
23210,18416,27
25186,13333,28
424,8600,29
528,6154,30
3629,3998,31
361,10212,32
23505,23591,33
28440,49149,34
54757,70820,35
25552,84127,36
10685,155470,37
18977,97268,38
50236,51274,39
13527,49841,40
27680,66273,41
22781,46952,42
14637,10490,43
8275,10560,44
