attach,https://node-iota.org:14267 score: 81.76059525087476 scoreNorm: 0.34461188208522137
768,20725,0
33003,57079,1
10811,51771,2
9237,28647,3
24886,101236,5
60899,125086,4
72428,38120,6
710,104503,7
-1,-1,10
50619,126719,8
14780,155968,9
14915,35558,11
43457,31488,12
8573,55340,13
17776,28893,14
23286,28929,15
10070,26074,16
947,16057,17
1826,42993,18
19800,46714,19
18475,22103,20
19263,6879,21
10300,12082,23
45712,31025,22
5087,2986,24
1689,36089,25
4112,16476,26
1126,1936,27
2603,5429,28
36920,13790,29
26449,38969,31
62402,103287,30
45446,19346,32
15763,29109,33
11369,25761,34
26348,37085,35
1894,7661,36
467,16903,37
4903,1673,38
753,11368,39
718,23823,40
1193,16041,41
735,16302,42
979,13712,43
