attach,http://node06.iotatoken.nl:14265 score: 61.51916075788226 scoreNorm: 0.259296470482219
20679,35924,0
6540,16501,1
7853,12368,2
803,16098,3
1142,14002,4
15749,21927,5
1011,15043,6
773,9609,7
7962,15464,8
1156,16535,9
26618,22685,10
15039,29534,11
2472,9121,12
1284,24868,13
5781,9559,14
734,19487,15
364,18871,16
18336,33980,17
32440,36922,18
11085,2908,19
5937,13415,20
16215,16073,21
10623,7803,22
537,18071,23
9772,34507,24
533,20379,25
716,1967,26
6832,13539,27
12245,27063,28
833,5219,29
7660,7771,30
6320,22696,31
13301,10685,32
458,4714,33
903,11534,34
7227,11828,35
4352,3635,36
1054,7025,37
14404,6720,38
24828,7619,39
497,15331,40
700,5244,41
548,6702,42
715,17637,43
660,5471,44
