attach,http://89.163.242.213:14265 score: 244.2333435329861 scoreNorm: 1
1580,2820,0
485,4249,1
510,2384,2
12109,9111,3
2161,3201,4
609,2023,5
1550,12893,6
545,2527,7
45078,58188,8
17227,60909,9
61730,40040,10
48590,16586,11
43894,14095,12
-1,-1,13
-1,-1,15
-1,-1,14
100279,47330,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
95107,69673,27
23017,103620,28
32642,99659,29
-1,-1,31
111490,76524,30
-1,-1,32
50852,117080,33
106590,49846,34
-1,-1,35
-1,-1,36
-1,-1,38
87909,97864,37
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,43
-1,-1,42
-1,-1,44
