attach,https://trinity.iota-tangle.io:14265 score: 130.87752391397953 scoreNorm: 0.5581324359994485
652,9728,0
468,1669,1
510,1170,2
620,2623,3
354,1000,4
410,1005,5
518,2406,6
966,2610,7
451,1371,8
563,1702,9
403,3330,10
967,2577,11
453,1470,12
248,1615,13
619,339,14
452,3569,15
706,421,16
606,5362,17
329,670,18
902,1732,19
453,446,20
1210,1406,21
307,2310,22
652,756,23
1104,2074,24
576,1449,25
782,1942,26
709,1167,27
951,1111,28
828,998,29
670,570,30
387,1265,31
584,1255,32
600,2782,33
599,1811,34
817,670,35
498,3344,36
1795,2961,37
493,698,38
854,2536,39
483,1250,40
8415,1491,41
596,1191,42
445,2120,43
652,1161,44
