attach,https://ultranode.iotatoken.nl:443 score: 233.9778521525065 scoreNorm: 0.9978079099175895
31466,65476,0
55011,19135,1
48844,90538,2
106127,68049,3
-1,-1,4
-1,-1,6
-1,-1,5
-1,-1,7
-1,-1,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,15
-1,-1,14
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,30
-1,-1,29
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,35
-1,-1,34
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
