attach,https://hanspetzersnode.org:14267 score: 73.99707303754985 scoreNorm: 0.33300378574450185
24321,43681,0
5744,14583,1
5069,9241,2
840,10440,3
30056,28809,4
34007,3303,5
17810,21821,6
9181,3822,7
14594,70949,8
68399,37169,9
32158,67545,10
27850,149678,11
59950,184169,12
24011,196523,13
124864,92398,15
54494,108320,16
196901,170815,14
-1,-1,21
35906,152618,19
175391,252511,17
106990,298126,18
162945,166287,22
56515,234612,23
257451,281025,20
177047,30097,26
102037,204443,27
300837,221056,24
46072,191616,29
-1,-1,25
-1,-1,30
-1,-1,35
-1,-1,31
-1,-1,28
-1,-1,32
82359,193185,33
5434,8919,38
116742,15953,36
291685,205989,34
314637,11279,37
209862,29589,39
139116,81968,40
68837,90168,41
32671,97404,42
84664,44768,43
14354,78723,44
