attach,https://node01.gubiota.ch:443 score: 37.58743639900873 scoreNorm: 0.15837214020118878
1136,54477,0
104968,45182,1
32839,15622,3
73663,60931,2
1136,40361,4
10026,33914,5
36344,17563,6
797,20088,7
82880,26177,8
497,16831,9
901,19359,10
799,36174,11
3564,59933,12
-1,-1,13
103460,17020,14
16716,26461,15
756,4011,16
740,47962,17
18365,28838,18
1284,5761,19
15018,92850,20
13810,33385,22
74550,82515,21
13037,67133,23
24660,8913,24
1707,5899,25
1107,12516,26
479,13771,27
39556,29169,28
47818,41722,29
1400,15675,30
1258,19916,31
25510,30675,32
8691,36422,33
33375,28785,34
1192,10329,35
758,23403,36
736,43345,37
11908,30422,38
-1,-1,39
42959,77451,41
104011,92583,40
70297,86771,42
-1,-1,43
91237,44030,44
