attach,http://mandelhost.de:14265 score: 59.86476771926879 scoreNorm: 0.24596409046361195
2100,17728,0
46988,37387,1
7141,70144,2
31820,43086,3
46814,85613,4
19116,116608,5
132301,99763,6
71097,209103,7
9714,416129,8
386893,36379,9
326252,163314,10
265493,274335,11
204498,403989,12
143802,454119,13
68035,477029,14
511639,180014,15
448117,195768,16
387367,326412,17
326699,406964,18
265923,459981,19
204723,564132,20
144112,706924,21
82936,755300,22
21453,881963,23
17755,879275,24
832094,56856,25
771040,99537,26
710018,161211,27
648656,244662,28
587927,300064,29
515285,411724,30
422790,561653,31
353030,633329,32
291225,669207,33
230526,743431,34
170062,757413,35
109175,1055852,36
47987,1213223,37
451790,852457,38
1216205,16345,40
1154735,96450,41
1092969,322631,42
1031475,327798,43
975984,415377,44
1276977,610192,39
