attach,https://pow.iota.community:443 score: 53.26846621930599 scoreNorm: 0.22383340689997072
2136,5963,0
870,3752,1
846,9177,2
1392,4595,3
880,7386,4
577,1852,5
1210,1797,6
1110,1623,7
800,2619,8
1287,4623,9
1451,1072,10
1016,8353,11
1087,8440,12
950,6640,13
1237,2709,14
1240,3724,15
1483,1043,16
917,10846,17
848,9824,18
583,3971,19
931,7481,20
835,8338,21
1540,3609,22
1065,5159,23
1174,8725,24
1456,5534,25
1009,3341,26
1247,12940,27
1262,8655,28
645,12053,29
1436,9117,30
1396,8342,31
769,10884,32
2847,7833,34
23313,27888,33
1435,10274,35
24519,8368,36
11921,5221,37
497,9442,38
1100,1165,39
829,2331,40
1294,2308,41
737,3922,42
1268,18258,43
908,8159,44
