attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
-1,-1,0
26823,13010,1
673,23929,2
-1,-1,3
1178,1816,4
-1,-1,5
-1,-1,6
5545,2549,7
-1,-1,8
-1,-1,9
976,12779,10
-1,-1,11
648,6450,12
-1,-1,13
1469,7175,14
-1,-1,15
-1,-1,16
-1,-1,17
1681,14240,18
644,16786,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
585,18365,25
-1,-1,26
561,2963,28
-1,-1,27
-1,-1,29
-1,-1,30
429,13368,31
-1,-1,32
1303,1725,33
20504,1072,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
