attach,https://trinity.iota-tangle.io:14265 score: 112.23668250170621 scoreNorm: 1
892,2035,0
424,863,1
898,2183,2
1411,3078,3
410,2374,4
511,3089,5
589,1459,6
3815,5408,7
730,642,8
585,1328,9
625,763,10
646,2765,11
578,2147,12
1270,1204,13
353,2119,14
396,5769,15
781,2021,16
443,464,17
327,1882,18
565,1327,19
502,4005,20
710,1818,21
469,1799,22
692,1339,23
335,377,24
280,1175,25
850,1386,26
705,1503,27
1513,1022,28
522,1246,29
725,859,30
531,3000,31
657,516,32
544,441,33
470,1030,34
485,8217,35
335,1163,36
624,793,37
607,1876,38
793,426,39
654,2166,40
597,1006,41
407,495,42
523,4931,43
610,693,44
