attach,https://www.iotaqubic.us:443 score: 88.44524882433723 scoreNorm: 0.7880244395409023
978,714,0
943,721,1
1008,739,2
1249,751,3
942,759,4
1343,735,5
1324,743,6
1216,743,7
843,725,8
1173,752,9
876,755,10
1454,731,11
970,744,12
1383,730,13
764,739,14
986,769,15
1212,732,16
898,974,17
1317,740,18
871,746,19
887,754,20
1070,739,21
1273,741,22
841,800,23
-1,-1,24
981,737,25
947,739,26
1197,696,27
1036,741,28
851,738,29
813,750,30
974,730,31
836,727,32
1328,748,33
835,737,34
851,736,35
1271,731,36
840,717,37
1211,734,38
1119,715,39
-1,-1,40
909,747,41
1370,735,42
1258,719,43
1001,933,44
