attach,https://nodes.thetangle.org:443 score: 116.8465499912219 scoreNorm: 0.5057345097411008
956,838,0
1308,680,1
403,685,2
976,3996,3
448,1907,4
650,2410,5
558,18471,6
400,2508,7
-1,-1,8
-1,-1,9
460,13482,10
510,34484,12
538,66736,11
517,828,13
477,2720,14
729,1904,16
636,1288,17
1216,7530,18
-1,-1,19
582,22768,20
526,32694,21
426,31611,22
710,39083,23
288,1382,24
-1,-1,15
532,9899,25
477,1205,26
541,1330,27
680,10804,28
787,16255,29
1325,19197,30
1556,23768,31
664,31434,32
598,3800,33
546,1937,34
722,1458,35
389,1013,36
602,4251,37
324,2268,38
435,10075,39
293,13571,40
541,24805,41
440,36270,42
-1,-1,43
521,6142,44
