attach,https://nodes.iota.cafe:443 score: 68.29519544358897 scoreNorm: 0.28510609652425095
567,3222,0
459,1244,1
433,3129,2
559,8390,3
453,4938,4
530,6143,5
393,5907,6
268,22648,7
568,2643,8
587,2899,9
534,14222,10
317,5987,11
467,6652,12
412,9953,13
458,5225,14
7443,15213,15
802,13314,16
386,13757,17
357,12488,18
523,5837,19
1081,2929,20
11642,7142,21
614,6345,22
312,9615,23
769,2962,24
586,8972,25
496,8409,26
589,15682,27
425,11784,28
562,1169,29
5221,9436,30
441,21075,31
490,8954,32
476,10263,33
473,3299,34
589,3411,35
427,6682,36
554,4816,37
299,6780,38
458,4096,39
529,5686,40
376,17954,41
293,6529,42
491,4229,43
-1,-1,44
