attach,VEQMXXVFFMFVBISUOVOQ9JSNCLCWDVDJTCZXWTLZKTPUDUYCXACTNJIWFAUGYIOJESJGUSOSSRYYWUOFP https://hanspetzersnode.org:14267 score: 0.40923518722767094
5976,0
3733,1
2493,2
1891,3
4583,4
2167,5
1634,6
1742,7
2512,8
1430,9
3401,10
5194,11
4599,12
1785,13
1712,14
10961,15
4052,16
6449,17
7497,18
1433,19
1962,20
2101,21
4026,22
5904,23
1450,24
2633,25
3226,26
1839,27
1227,28
3296,29
1373,30
3381,31
1713,32
3975,33
2760,34
1331,35
2412,36
6353,37
3520,38
3855,39
4949,40
1865,41
2186,42
8497,43
2139,44
