attach,BWUEDYASSTUXCKBSFETGTZVCYYBYQ9IDIAFSEVESPOJOG9GWMKEMHIWABHIWBQSXVDVYQFGCGCQZDYJTN https://dyn.tangle-nodes.com:443 score: 0.9291674710439132
14263,0
7107,1
11416,2
-1,3
19104,4
14659,5
23730,6
66608,7
130840,8
-1,9
26973,11
129898,10
-1,13
-1,12
-1,14
-1,15
120150,16
134084,17
120543,18
-1,19
-1,20
100830,21
131056,22
92157,23
98370,24
46303,25
109048,26
130612,27
116860,28
-1,29
156980,30
-1,31
-1,32
-1,33
143768,34
135053,35
-1,37
161426,36
-1,38
-1,39
-1,40
121128,41
-1,42
134220,43
111754,44
