attach,ONIWLGEKOBYMHY9LODDMOCNL9JCVIPUDYSOFJQVKMCCUFSZFMORFHQYYRSCWVXQIQSHMYANYSPHFVXYJQ https://iotanode.world:14267 score: 0.43892248527006483
10812,0
49178,1
18160,2
27632,3
65600,4
87821,5
67798,7
-1,6
111682,8
-1,9
106553,10
-1,11
-1,12
105964,13
-1,14
114938,15
-1,16
145532,17
-1,18
104269,19
-1,20
-1,21
91137,22
150753,23
102102,24
100238,25
116486,26
-1,27
-1,28
140703,29
142686,30
142086,31
-1,32
-1,33
121614,34
-1,35
150809,36
129255,37
135642,38
-1,39
129858,40
126220,41
113823,42
115476,43
-1,44
