attach,QZEUQDNBZTZZSVHGTGDORAAODVRSELY9OYPUCAXDCSUU9KXIQFMHUHDSCWZQTQ9PNJBOVHJMERSYMSP9D https://trinity.iota-tangle.io:14265 score: 0.685988270375793
6793,0
3603,1
9560,2
2709,3
6598,4
2087,5
7740,6
16592,7
14966,8
5236,9
5457,10
51106,11
26008,12
7057,13
3406,14
43288,15
4388,16
9089,17
14280,18
22662,19
3064,20
-1,21
7206,22
2902,23
24700,24
49757,25
39537,26
12121,27
24924,28
5913,29
16627,30
-1,31
11713,32
1592,33
19950,34
3384,36
97048,35
2186,37
17345,38
14348,39
2923,40
6737,41
13859,42
2880,43
8074,44
