attach,ZZ9ZYSUIJHULNKHYERBFQA9JAZZDAHHNHJGNUTQMVHKYQXKLQZ9ETBCKMRZUDPCNCZVGMGDYLJAQYZUEM https://perma.iota.partners:443 score: 0.5006440033453552
22365,0
3814,1
12024,2
4618,3
3908,4
3028,5
7190,6
3941,7
9268,8
9243,9
4279,10
12940,11
34044,12
6642,13
25595,14
29672,15
28084,16
4848,17
5206,18
25663,19
14423,20
730,21
18842,22
6039,23
15491,24
6876,25
26321,26
9827,27
37270,28
21342,29
16248,30
5690,31
4659,32
31290,33
23823,34
4392,35
10111,36
40986,37
6887,38
19893,39
4927,40
19254,41
12813,42
12701,43
