attach,SG9NLLYDGPGBJMGPMQMDYCCZNPDMTYNHGNCJSVOP9OSG9UYUTSMOMENJFJGDHIXJLOUGSJJFYBSEJNSWD https://node02.gubiota.ch:443 score: 0.346917982206279
1674,0
4233,1
13833,2
8411,3
2884,4
15267,5
10822,6
10349,7
21808,8
28861,9
28090,10
20711,11
4316,12
2133,13
12323,14
13855,15
4571,16
5230,17
20883,18
8156,19
14039,20
6757,21
17805,22
19004,23
38584,24
20612,25
29016,26
12657,27
10200,28
3086,29
3632,30
8216,31
4209,32
17224,33
7275,34
23759,35
12731,36
40108,37
36965,38
15766,40
33613,39
12283,41
10784,42
32292,43
3643,44
