attach,IU9GNIWITQYAVXNSNNFKGGSESJDJCJDCAAMVCVUGD99HP9HKQNWFAPKPAJMBKQLPLKKYDWA9AUPLSWEFL https://ultranode.iotatoken.nl:443 score: 0.6030735272432501
7039,0
3819,1
2480,2
12258,3
25136,4
11508,5
5464,6
4231,7
9804,8
4544,9
2335,10
-1,11
2454,12
2060,13
3544,14
19992,15
9222,16
13764,17
12711,18
28062,19
3489,20
40614,21
17784,22
21433,23
8751,24
33121,25
10387,26
5721,27
13056,28
72603,29
26027,30
7874,31
33360,32
17467,33
16845,34
-1,35
25004,36
29010,37
15468,38
4481,39
4128,40
4295,41
15750,42
4525,43
26795,44
