attach,RSGUNFJ9JILXJJHWUWPIITWKHAOWRZ9SIHOIMSMBWHAHWN9ZRBXRPAI9ZPOGHKIUQNFRTULW9FC9QAAIT https://perma.iota.partners:443 score: 0.36692624689913966
3414,0
11076,1
9717,2
5589,3
11628,4
5696,5
18536,6
11169,7
22325,8
17130,9
15382,10
21326,11
48235,12
43860,13
-1,14
3701,15
10807,16
33534,17
43500,18
-1,19
32666,20
-1,21
49061,22
63161,23
31624,24
-1,25
15617,26
22118,27
17345,28
18264,29
9843,30
10418,31
34449,32
10302,33
33804,34
25510,35
28327,36
20988,37
3494,38
34344,39
-1,40
-1,41
10019,42
22683,43
6120,44
