attach,JHLKEZYNCZUWHAWUHCXTMIXCQNKRYVYKJJKQHTGERMDORCCCMAXKIQPEDTDENNQTAU9NNGJUEB99VOSMJ https://node01.gubiota.ch:443 score: 0.31504913786053346
12692,0
5715,1
9918,2
7682,3
9047,4
8246,5
8545,6
12837,7
44111,8
19181,9
18277,10
11280,11
27481,12
11035,13
21513,14
39163,15
7581,16
21344,17
27872,18
23452,19
35156,20
19401,21
25734,22
11281,23
5935,24
12451,25
15178,26
25595,27
31677,28
39213,29
33342,30
19642,31
14287,32
22455,33
28027,34
10620,35
22648,36
2900,37
6187,38
26067,39
14960,40
27351,41
34887,42
15361,43
1910,44
