attach,http://185.228.137.166:14265 score: 2.751499117506545 scoreNorm: 0.02130031914350944
69514,0
253685,2
262434,3
454645,1
304807,4
384043,5
352810,6
388326,7
455284,8
509285,9
691535,10
644424,11
735288,12
715433,13
751305,14
793882,15
831230,16
965325,17
1061278,18
1066326,19
1156337,20
1252048,21
1371320,23
1418729,22
1392331,24
1446363,25
285829,44
843142,36
1183951,32
1573817,26
1602814,27
1596680,28
1566778,29
1625930,30
1627969,31
1570873,33
1657448,34
1817427,35
1698527,37
1798528,38
1846445,39
1833616,40
1804360,42
1809457,43
2039964,41
