attach,http://node03.iotatoken.nl:14265 score: 5.532029292047172 scoreNorm: 0.048749807684320745
-100959,0
-102785,1
-101004,2
-101147,3
-99278,4
-95689,5
-102565,6
-103866,7
-102494,8
-100419,9
-98139,10
-96560,11
-101489,12
-102972,13
-102833,14
-103438,15
-103286,16
-103030,17
-98070,18
-92734,19
-103692,20
-99459,21
-95671,22
-102945,23
-102133,24
-99736,25
-94211,26
-99887,27
-101219,28
-99187,29
-92427,30
-101607,31
-94251,32
-103237,33
-102534,34
-98465,35
-96220,36
-101398,37
-99354,38
-100020,39
-101582,40
-103716,41
-101291,42
-102293,43
-99366,44
