attach,https://node-iota.org:14267 score: 43.10730450600386 scoreNorm: 0.3182955047181819
90112,0
17948,1
69476,2
25952,4
91291,3
106051,5
46358,6
8181,7
69263,8
90814,9
129365,10
152667,11
160976,12
143169,13
-1,14
362586,15
439626,16
426342,17
297893,19
189236,22
202487,23
183700,24
587576,18
259414,25
534721,20
-1,21
229500,26
266520,27
172703,28
209940,29
177630,30
150119,31
175297,32
162572,33
233981,34
215357,35
200094,36
246630,37
278795,38
-1,39
155470,42
270002,41
316833,43
273832,44
566112,40
