attach,http://mandelhost.de:14265 score: 46.41052825927735 scoreNorm: 0.3549183851182986
677972,0
656911,1
666857,2
593013,3
600464,4
546347,5
629117,6
750927,7
795274,8
462007,16
546952,15
865690,10
875975,11
944779,12
1170216,13
1255194,14
1173904,17
1192990,18
1329797,19
2165579,9
1231683,25
1616282,20
1741199,21
689184,34
1795396,22
1900077,23
1958910,24
2079747,26
2197452,27
2238677,28
2383494,29
2427733,31
2507863,32
2500998,33
-1,34
-1,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
-1,43
-1,44
