attach,http://5.189.141.225:14265 score: 94.21945404052734 scoreNorm: 0.8094488358515739
36472,0
101610,1
32571,3
76167,2
74741,4
29012,5
93701,6
92770,7
131675,8
56510,9
236056,10
382593,11
344033,12
422969,13
430005,14
522513,15
581850,16
617039,17
633413,18
672888,19
680625,20
722482,21
686027,22
681570,23
670717,24
897664,25
875374,26
902782,27
891058,28
930239,29
983654,30
954214,31
934088,32
1069482,33
1138321,34
1165747,35
1222423,36
1265189,37
1336676,38
1410662,39
1451688,40
1380490,41
1396953,42
1438607,43
1410278,44
