attach,https://dyn.tangle-nodes.com:443 score: 59.66966649627686 scoreNorm: 0.2802717146397187
2743,25088,0
-1,-1,1
-1,-1,2
-1,-1,3
-1,-1,4
-1,-1,5
841,14267,6
-1,-1,7
-1,-1,8
783,7214,9
-1,-1,10
678,1127,11
1427,13295,12
-1,-1,13
1493,16594,14
1595,2065,15
2965,11337,16
969,12209,17
-1,-1,18
994,1851,19
-1,-1,20
733,7002,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
882,10455,28
-1,-1,29
-1,-1,30
-1,-1,31
2054,2702,32
1199,4910,33
944,5361,34
-1,-1,35
4936,3419,36
3840,7177,37
-1,-1,38
-1,-1,39
1878,1090,40
-1,-1,41
-1,-1,42
931,2335,43
