attach,https://nod3.theshock.de:443 score: 40.04133242368698 scoreNorm: 0.1705510251654794
789,6960,0
457,28167,1
1198,11203,2
377,3634,3
818,26223,4
757,3762,5
755,5660,6
619,19182,7
20692,478,8
1321,4672,9
544,4163,10
740,7086,11
447,6082,12
11133,5985,13
2982,12469,14
1147,10763,15
12825,6065,16
769,2005,17
369,2968,18
2308,4237,19
591,2142,20
10618,16584,21
9773,12422,22
729,19846,23
861,16709,24
305,4392,25
21143,1654,26
398,2024,27
749,3874,28
768,7069,29
900,2857,30
718,15991,31
4215,6194,32
472,9347,33
444,7467,34
311,3164,35
780,6049,36
574,21459,37
861,4716,38
396,2260,39
1349,6412,40
1971,1733,41
563,7570,42
662,9068,43
828,3520,44
