attach,https://ultranode.iotatoken.nl:443 score: 241.22523480902777 scoreNorm: 0.9945708960269448
6081,3506,0
669,912,1
1085,16633,2
12741,18061,3
704,839,4
816,2905,5
801,8145,6
6427,4466,8
7825,31912,7
843,3812,9
12916,20584,10
3161,2985,11
26456,9870,12
29422,52610,13
53849,22985,14
36421,62761,15
2088,64533,16
68144,7892,17
-1,-1,18
63316,100140,19
63718,78239,20
117258,31328,21
99035,44816,22
40969,102155,23
-1,-1,24
-1,-1,26
-1,-1,25
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
16653,112314,33
-1,-1,34
-1,-1,35
-1,-1,37
88497,87021,36
-1,-1,38
62025,116979,39
-1,-1,40
-1,-1,41
-1,-1,43
91521,91795,42
-1,-1,44
