attach,https://iotanode.world:14267 score: 59.717866394786235 scoreNorm: 0.2445115213628509
5940,21856,0
3582,16792,1
643,10968,2
963,13631,3
991,29109,4
6354,31788,5
1558,27825,6
23396,27236,7
5977,7866,8
1046,12398,9
4115,41928,10
1540,53198,11
16751,62119,12
8329,149163,13
20250,29228,15
83043,114618,14
41135,11740,17
81825,71643,16
9399,40695,18
2616,38929,19
1298,43290,20
17186,40866,21
10734,11034,22
1259,43884,23
19286,31791,24
29102,33221,25
1100,43845,26
1011,15876,27
2176,41919,28
1217,22675,29
2885,30828,30
3050,40203,31
18490,34412,32
1487,22381,33
851,16487,34
2709,50193,35
23219,14419,36
1968,22922,37
6955,27601,38
1388,30608,39
3416,3442,40
1385,7642,41
1148,37251,42
17216,9141,43
20859,5456,44
