attach,http://207.180.252.59:14265 score: 60.35009537377186 scoreNorm: 0.2691810391045162
9180,16295,0
626,5615,1
1436,16676,2
1023,45571,3
39505,28391,4
30691,10798,5
1470,20390,6
600,19280,7
15146,7684,8
45080,76911,9
44432,47850,10
77417,41241,11
-1,-1,12
-1,-1,13
42989,59166,14
51071,95196,15
67371,34900,16
1509,107211,17
33295,67685,18
35614,51702,19
60592,44957,20
68479,52100,21
75864,11305,22
33218,6689,23
58824,29322,24
17228,71619,25
6381,59439,27
67472,69099,26
8417,25939,28
3870,18993,29
14467,35738,30
18407,9603,31
21887,21623,32
18539,58072,33
18578,71607,34
42640,77077,36
-1,-1,35
110664,56297,37
-1,-1,39
-1,-1,38
-1,-1,40
-1,-1,41
56736,75935,42
-1,-1,43
62135,16060,44
