attach,http://node02.iotatoken.nl:14265 score: 70.25368282863072 scoreNorm: 0.3133542578119706
967,7430,0
484,9945,1
558,6424,2
660,16501,3
716,6595,4
461,23152,5
418,3088,6
721,8056,7
19896,5417,8
522,9930,9
1187,4215,10
1130,6637,11
761,8584,12
605,2957,13
678,18231,14
911,8326,15
853,4283,16
948,2128,17
468,26922,18
654,14327,19
492,35323,20
732,23313,21
932,1540,22
926,16166,23
611,13479,24
412,18062,25
1119,28412,26
631,15535,27
360,5497,28
484,5596,29
437,9416,30
780,5841,31
721,6057,32
332,3638,33
704,7765,34
632,3606,35
404,7589,36
678,6669,37
746,5568,38
688,5740,39
589,3874,40
547,7575,41
473,9635,42
720,6756,43
670,6748,44
