attach,https://pow.iota.community:443 score: 40.071487724781036 scoreNorm: 0.17978962872616763
862,4665,0
865,4685,1
1105,8082,2
541,7571,3
1211,5446,4
11743,2327,5
861,3133,6
23578,16583,7
490,4484,8
687,7123,9
777,6641,10
11370,2620,11
828,3679,12
27189,5073,13
711,4009,14
3296,1641,15
3218,8396,16
725,7150,17
8920,3897,18
5900,5154,19
826,1528,20
1431,7842,21
665,1431,22
3922,2432,23
24239,17512,24
1388,14716,25
7776,2253,26
3608,3430,27
24036,10004,28
1090,11095,29
1758,15664,30
1063,7934,31
1404,3927,32
5378,1083,33
1881,2634,34
950,8079,35
19714,7335,36
5517,2396,37
18729,5540,38
1071,7705,39
12208,2573,40
872,10852,41
4109,4094,42
57161,12517,43
83786,17556,44
