attach,https://node-iota.org:14267 score: 87.09693755954504 scoreNorm: 0.3907797527899839
7743,8842,0
11392,26476,1
-1,-1,3
-1,-1,2
2223,19227,4
548,26060,5
1040,30996,6
560,47986,7
59091,25628,8
19012,9192,9
27360,69810,10
49207,24384,11
16882,119242,12
42363,86122,13
25398,178177,14
-1,-1,18
-1,-1,19
32343,208523,15
34674,194021,16
-1,-1,22
-1,-1,21
-1,-1,20
-1,-1,17
86808,190328,23
-1,-1,24
140446,202556,25
-1,-1,26
260148,104203,27
-1,-1,29
-1,-1,28
-1,-1,31
-1,-1,32
-1,-1,30
-1,-1,39
-1,-1,36
-1,-1,35
-1,-1,34
-1,-1,33
-1,-1,40
-1,-1,41
-1,-1,38
-1,-1,37
-1,-1,42
-1,-1,44
-1,-1,43
