attach,http://89.163.242.213:14265 score: 244.4306967163086 scoreNorm: 1
1554,1003,0
10505,24101,1
15370,1303,2
1150,4142,3
20011,7282,4
1318,11466,5
626,736,6
2532,3082,7
1062,1464,8
729,3993,9
1257,3335,10
1009,1525,11
11876,1912,12
511,2235,13
559,1304,14
1198,2022,15
976,1723,16
554,3029,17
546,4078,18
337,11458,19
8226,7441,20
895,7855,21
460,2531,22
8503,6363,23
729,2145,24
8640,11855,25
8556,5397,26
349,3688,27
353,2225,28
12738,10815,29
24678,4285,30
13955,10825,31
1001,4318,32
578,7151,33
736,3492,34
702,11513,35
1216,1080,36
2556,7610,37
991,28217,38
873,2076,39
830,1235,40
1572,1460,41
9840,5783,42
3256,2591,43
1666,5745,44
