attach,https://perma.iota.partners:443 score: 36.50571060180664 scoreNorm: 0.14998962239372537
3749,4316,0
1225,3842,1
904,3459,2
853,3570,3
859,1622,4
737,7819,5
493,1191,6
1394,2319,7
1373,3589,8
794,2036,9
880,6857,10
736,2962,11
773,1857,12
1141,12675,13
1524,15836,14
383,4008,15
601,4536,16
604,8522,17
632,8306,18
309,4930,19
980,5885,20
835,3710,21
1009,18753,22
818,5019,23
631,4163,24
567,1831,25
970,15633,26
1259,3642,27
1097,4281,28
442,2939,29
981,6401,30
876,9172,31
982,4158,32
750,4328,33
775,667,34
989,1842,35
552,5410,36
2038,5133,37
1305,3784,38
1079,8535,39
2424,4141,40
1989,4373,41
448,2597,42
863,5427,43
