attach,http://mandelhost.de:14265 score: 92.40333501434326 scoreNorm: 0.4585921708312706
1285,8115,0
801,32255,1
75007,41153,2
85592,15404,3
22498,61767,4
41153,79523,5
89491,55959,6
146121,40702,8
147487,116978,7
99131,874,9
63535,82266,10
298786,42816,11
124957,162004,12
88266,185611,13
16742,276964,14
124981,265669,15
54786,297658,16
156189,224690,17
44867,368550,18
10039,461685,19
182964,452523,20
103407,642232,21
677964,186242,22
497815,520072,23
381256,640505,24
193781,960481,25
118766,1046331,26
854265,273245,28
788028,359287,29
604918,613324,30
475386,792027,31
440183,859812,32
360836,1012780,33
73396,1291555,34
17933,1397255,35
1198744,170982,36
1146372,286315,37
1075588,348264,38
765991,689629,39
750280,785120,40
151860,1276052,41
89687,1319718,42
1117995,1400461,27
1357784,116976,43
1234899,199393,44
