attach,https://nodes.thetangle.org:443 score: 117.5338271374649 scoreNorm: 0.5840768574369057
364,1788,0
807,3044,1
763,627,2
811,1361,3
545,33626,4
1204,6766,5
1286,26569,6
766,20125,7
1324,29285,8
342,27609,9
1115,32935,10
895,645,11
591,6528,12
603,7869,13
25881,2523,14
622,15870,15
1523,1151,16
598,4770,17
1604,44678,18
753,30474,20
820,19379,21
564,27404,22
10423,28765,23
440,40098,24
1153,4146,25
955,6007,26
2007,1144,27
408,3862,28
-1,-1,19
474,11324,29
1333,21720,30
8861,26690,31
562,990,32
1321,331,33
742,2363,35
-1,-1,34
1285,4196,36
801,911,37
16700,3325,38
1354,2262,39
-1,-1,40
667,15266,41
-1,-1,42
-1,-1,43
