attach,https://trinity.iota-tangle.io:14265 score: 112.23668250170621 scoreNorm: 1
416,5310,0
361,557,1
518,1537,2
5048,3239,3
677,1134,4
540,2441,5
436,3001,6
520,782,7
518,5717,8
620,987,9
321,1977,10
479,710,11
1026,3496,12
439,1738,13
698,3246,14
423,1787,15
2152,6944,16
764,935,17
804,5893,18
545,1369,19
544,3041,20
633,1700,21
754,2242,22
417,3308,23
441,1702,24
368,2175,25
755,3241,26
268,232,27
302,2694,28
383,2062,29
1491,818,30
599,378,31
688,243,32
826,1726,33
361,1800,34
2096,3866,35
786,1019,36
519,7918,37
1587,1443,38
586,2038,39
453,3246,40
2064,2019,41
500,3079,42
3597,2390,43
3188,2309,44
