attach,https://hanspetzersnode.org:14267 score: 88.51608184352517 scoreNorm: 0.3810217656887653
488,10376,0
1132,43419,1
3010,37216,2
28177,6770,3
9330,20811,4
463,26407,5
26275,3534,6
25297,17557,8
26691,68922,7
1784,13669,9
6746,9083,10
864,17388,11
672,5462,12
41833,30891,13
3985,19190,14
12478,4829,15
878,46109,16
12599,14934,17
16324,55249,19
50707,92926,18
38610,31381,20
9231,34585,21
647,8266,22
885,6010,23
471,19747,24
8083,10539,25
601,15607,26
805,8584,27
756,22655,28
2248,5303,29
21365,15429,30
408,44344,31
24083,22012,32
43239,22500,33
3940,19363,34
7757,12288,35
5977,14520,36
26675,40102,37
1585,24613,38
3329,5223,39
22936,104554,40
601,22189,41
9833,28240,42
316,7169,43
291,16651,44
