attach,https://wallet1.iota.town:443 score: 106.69691757722335 scoreNorm: 0.45928205453883936
-1,-1,2
208763,461933,0
175816,530750,1
559595,95363,3
-1,-1,8
-1,-1,7
349609,347435,4
272920,403904,5
210336,518804,6
447588,278967,9
-1,-1,12
-1,-1,13
-1,-1,11
246281,538758,10
411643,327405,14
-1,-1,19
363752,383149,15
-1,-1,18
234793,557817,16
173336,591496,17
477653,241547,20
308751,457505,21
279949,484167,22
-1,-1,25
-1,-1,24
-1,-1,23
533651,292118,26
335754,454864,27
243909,533283,28
160121,586188,29
-1,-1,31
-1,-1,30
26494,141427,41
503021,186302,32
418514,230605,33
349326,267927,34
319026,286263,35
204750,348481,36
147719,377150,37
121412,390041,38
240414,180282,40
60852,268681,42
277461,21105,43
161733,120516,44
422640,216453,39
