attach,https://trinity.iota-tangle.io:14265 score: 130.02802057564259 scoreNorm: 0.6990942434954553
539,1644,0
799,869,1
378,1712,2
558,1118,3
545,2155,4
1630,2330,5
411,2464,6
1060,1385,7
486,1410,8
327,2205,9
603,1973,10
540,3790,11
1013,1295,12
576,1656,13
569,2994,14
652,1952,15
438,1754,16
1206,1488,17
333,2121,18
491,1341,19
479,725,20
870,1309,21
505,957,22
421,2598,23
674,674,24
405,1620,25
544,1936,26
540,2679,27
749,1441,28
635,2581,29
537,2824,30
328,1018,31
709,1106,32
407,3733,33
819,2188,34
480,673,35
278,1009,36
2395,959,37
510,1190,38
468,880,39
772,1848,40
589,694,41
256,2747,42
