attach,https://www.iotaqubic.us:443 score: 114.41801785735097 scoreNorm: 0.4890485426849649
2163,735,0
901,732,1
991,728,2
1461,737,3
1141,726,4
900,721,5
788,722,6
834,718,7
843,718,8
821,701,9
1130,696,10
1120,699,11
1027,661,12
1783,696,13
1013,700,14
978,696,15
903,687,16
1102,680,17
908,691,18
1109,681,19
1191,670,20
1365,689,21
1433,689,22
1031,680,23
836,752,24
995,675,25
1165,674,26
895,676,27
948,676,28
1030,677,29
1192,679,30
903,656,31
886,671,32
1065,884,33
825,938,34
780,953,35
821,1187,36
995,967,37
1243,969,38
874,1178,39
989,715,40
1161,704,41
1115,700,42
1126,688,43
1195,690,44
