attach,https://nodes.iota.cafe:443 score: 68.29519544358897 scoreNorm: 0.28510609652425095
1661,6904,0
502,13215,1
486,3095,2
422,4699,3
657,16917,4
481,6035,5
2073,16676,6
308,8110,7
390,4914,8
300,5627,9
590,10568,10
326,5228,11
6110,5837,12
369,18911,13
14619,1062,14
538,2459,15
325,15503,16
329,6438,17
548,3351,18
415,6226,19
473,6118,20
493,13533,21
464,12208,22
665,3076,23
434,5803,24
400,7307,25
428,19290,26
922,3831,27
535,12991,28
492,5251,29
337,4958,30
568,14470,31
576,6525,32
341,9173,33
645,5634,34
287,4924,35
333,7538,36
349,23388,37
553,3896,38
466,2129,39
391,6818,40
545,7280,41
396,7432,42
458,2783,43
326,13562,44
