attach,https://ultranode.iotatoken.nl:443 score: 239.5430903659397 scoreNorm: 1
841,7336,0
16341,5248,1
6611,4933,2
980,3227,3
1334,3251,4
48701,5064,5
9611,54948,6
35914,19666,7
3784,2626,8
669,4256,9
13497,4133,10
483,3757,11
17570,12808,12
1269,6999,13
1410,2024,14
8606,3537,15
1101,2296,16
977,11445,17
833,2412,18
4502,7823,19
763,5800,20
463,7161,21
6277,6530,22
1985,20129,23
13061,6969,24
473,2901,25
2415,19072,26
804,2136,27
41297,37664,28
1125,3313,29
748,4503,30
457,7630,31
574,1936,32
1603,15242,33
2172,6374,34
707,2187,35
6714,2122,36
959,1627,37
4864,19642,38
2990,2787,39
708,2018,40
775,4025,41
466,3199,42
663,4591,43
